"","df","Sum Sq","Mean Sum Sq","F value","Pr(>F)"
"FullModel","3","0.1327","0.0102","1.1998","0.2932"
"ReducedModel","2","0.145","0.0104","",""
"FullModel1","3","0.1549","0.0119","4.4401","0.0551"
"ReducedModel1","2","0.2078","0.0148","",""
"FullModel2","3","0.4635","0.0357","3.6907","0.0769"
"ReducedModel2","2","0.595","0.0425","",""
